_id,abrasion,brand,certifications,cleaningCode,colors,content.polyester,fabric,finish,horizontalRepeat,image,leadTime,moq,origin,pattern,patternType,price,railRoaded,sku,theme,use,verticalRepeat,width
644085a13fa8c86a031f5cf4,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.6056.13/1_MidSize.jpg,3,100,Türkiye,"[""floral"",""damask""]",,0,0,"""6056""",Grand,curtain,0,300
644085a13fa8c86a031f5cf5,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.6071.8/1_MidSize.jpg,3,100,Türkiye,"[""vstripe""]",,0,0,"""6071""",Grand,curtain,0,300
644085a13fa8c86a031f5cf6,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.8264.4/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""8264""",Grand,curtain,0,300
644085a13fa8c86a031f5cf7,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.8263.5/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""polkadot""]",,0,0,"""8263""",Grand,curtain,0,300
644085a13fa8c86a031f5cf8,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21085.6/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21085""",Grand,curtain,0,300
644085a13fa8c86a031f5cf9,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21084.6/1_MidSize.jpg,3,100,Türkiye,"[""polkadot""]",,0,0,"""21084""",Grand,curtain,0,300
644085a13fa8c86a031f5cfa,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21078.7/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21078""",Grand,curtain,0,300
644085a13fa8c86a031f5cfb,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3109.300.13112.1/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""13112""",Grand,curtain,0,300
644085a13fa8c86a031f5cfc,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.3219.13/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""3219""",Grand,curtain,0,300
644085a13fa8c86a031f5cfd,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21082.4/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21082""",Grand,curtain,0,300
644085a13fa8c86a031f5cfe,0,Kismet,[],W,[],100,"[""semi-sheer""]",FR,0,http://kismettekstil.com/Content/Images/3111.300.13110.3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""13110""",Grand,curtain,0,300
644085a13fa8c86a031f5cff,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.49035.3/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""polkadot""]",,0,0,"""49035""",Grand,curtain,0,300
644085a13fa8c86a031f5d00,0,Kismet,[],W,[],100,"[""semi-sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.290.70541.101/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",,0,0,"""70541""",Grand,curtain,0,300
644085a13fa8c86a031f5d01,0,Kismet,[],W,[],100,"[""semi-sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.290.70323.101/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",,0,0,"""70323""",Grand,curtain,0,300
644085a13fa8c86a031f5d02,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21081.8/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21081""",Grand,curtain,0,300
644085a13fa8c86a031f5d03,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21079.6/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21079""",Grand,curtain,0,300
644085a13fa8c86a031f5d04,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21075.4/1_MidSize.jpg,3,100,Türkiye,"[""abstract""]",,0,0,"""21075""",Grand,curtain,0,300
644085a13fa8c86a031f5d05,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.3996.5/1_MidSize.jpg,3,100,Türkiye,"[""abstract""]",,0,0,"""3996""",Grand,curtain,0,300
644085a13fa8c86a031f5d06,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.3995.7/1_MidSize.jpg,3,100,Türkiye,"[""dstripe""]",,0,0,"""3995""",Grand,curtain,0,300
644085a13fa8c86a031f5d07,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3032.290.406.3/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""406""",Grand,curtain,0,300
644085a13fa8c86a031f5d08,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.290.322322.25/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""322322""",Grand,curtain,0,300
644085a13fa8c86a031f5d09,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3109.300.13109.2/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""13109""",Grand,curtain,0,300
644085a13fa8c86a031f5d0a,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3008.290.7325.1178/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""7325""",Grand,curtain,0,300
644085a13fa8c86a031f5d0b,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3008.290.7324.1321/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""7324""",Grand,curtain,0,300
644085a13fa8c86a031f5d0c,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.4556.6/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""4556""",Grand,curtain,0,300
644085a13fa8c86a031f5d0d,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3008.290.7323.1409/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""7323""",Grand,curtain,0,300
644085a13fa8c86a031f5d0e,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3008.290.7322.1409/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""7322""",Grand,curtain,0,300
