abrasion,brand,certifications,cleaningCode,colors,content,finish,horizontalRepeat,image,leadTime,moq,origin,price,railRoaded,sku,pattern,patternType,fabric,theme,use,verticalRepeat,width
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3008.290.7325.1178/1_MidSize.jpg,3,100,Türkiye,0,0,7325,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3008.290.7324.1321/1_MidSize.jpg,3,100,Türkiye,0,0,7324,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.4556.6/1_MidSize.jpg,3,100,Türkiye,0,0,4556,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3008.290.7323.1409/1_MidSize.jpg,3,100,Türkiye,0,0,7323,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3008.290.7322.1409/1_MidSize.jpg,3,100,Türkiye,0,0,7322,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3079.300.150005.2/1_MidSize.jpg,3,100,Türkiye,0,0,150005,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3109.300.150004.3/1_MidSize.jpg,3,100,Türkiye,0,0,150004,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.150006.1/1_MidSize.jpg,3,100,Türkiye,0,0,150006,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3079.300.150003.1/1_MidSize.jpg,3,100,Türkiye,0,0,150003,"[""vstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3079.300.150001.1/1_MidSize.jpg,3,100,Türkiye,0,0,150001,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3109.300.13108.2/1_MidSize.jpg,3,100,Türkiye,0,0,13108,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370546.103/1_MidSize.jpg,3,100,Türkiye,0,0,370546,"[""ornate""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.4233.6/1_MidSize.jpg,3,100,Türkiye,0,0,4233,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.1609.103/1_MidSize.jpg,3,100,Türkiye,0,0,1609,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370547.302/1_MidSize.jpg,3,100,Türkiye,0,0,370547,"[""abstract""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3078.300.12017.10/1_MidSize.jpg,3,100,Türkiye,0,0,12017,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3032.290.407.3/1_MidSize.jpg,3,100,Türkiye,0,0,407,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.7120.301/1_MidSize.jpg,3,100,Türkiye,0,0,7120,"[""ogee""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21077.1404/1_MidSize.jpg,3,100,Türkiye,0,0,21077,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21073.302/1_MidSize.jpg,3,100,Türkiye,0,0,21073,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21055.305/1_MidSize.jpg,3,100,Türkiye,0,0,21055,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.20101.11/1_MidSize.jpg,3,100,Türkiye,0,0,20101,"[""solid""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.49034.5/1_MidSize.jpg,3,100,Türkiye,0,0,49034,"[""ornate""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.4232.3/1_MidSize.jpg,3,100,Türkiye,0,0,4232,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.4518.1/1_MidSize.jpg,3,100,Türkiye,0,0,4518,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.324105.2/1_MidSize.jpg,3,100,Türkiye,0,0,324105,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
