sku,width,content,price,name,brand,style,pattern,patternType,theme,origin,abrasion,use,image,certifications,colors,leadTime,moq,railRoaded,verticalRepeat,horizontalRepeat,finish,cleaningCode
81418,300,"{""polyester"":100}",0,Brylee,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81418.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
814,300,"{""polyester"":100}",0,Claire,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.290.814.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
813,300,"{""polyester"":100}",0,Kathleen,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.290.813.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
806,300,"{""polyester"":100}",0,Scarlett,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.290.806.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
804,300,"{""polyester"":100}",0,Giselle,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.290.804.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482858,300,"{""polyester"":100}",0,Raegan,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5701.300.482858.B876/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482824,300,"{""polyester"":100}",0,Leanna,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.482824.1365/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482818,300,"{""polyester"":100}",0,Bella,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.482818.1867/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482814,300,"{""polyester"":100}",0,Kaitlin,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5300.300.482814.1669/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482782,300,"{""polyester"":100}",0,Alma,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5300.300.482782.2043/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482780,300,"{""polyester"":100}",0,Anne,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5710.300.482780.1517/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482778,300,"{""polyester"":100}",0,Nia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.482778.697/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482765,300,"{""polyester"":100}",0,Isabell,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.482765.697/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482759,300,"{""polyester"":100}",0,Monica,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5308.300.482759.1867/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482754,300,"{""polyester"":100}",0,Sarahi,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5300.300.482754.1666/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482749,300,"{""polyester"":100}",0,Yuliana,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.482749.488/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482747,300,"{""polyester"":100}",0,Abigail,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.482747.1110/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
3890,300,"{""polyester"":100}",0,Armani,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.280.3890.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
323094,300,"{""polyester"":100}",0,Angelica,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.323094.1110/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
323086,300,"{""polyester"":100}",0,Francesca,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.323086.1167/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
323085,300,"{""polyester"":100}",0,Arabella,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.323085.1167/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
323082,300,"{""polyester"":100}",0,Libby,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.323082.1167/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244190,300,"{""polyester"":100}",0,Leah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.244190.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244188,300,"{""polyester"":100}",0,Kenley,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.244188.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
243965,300,"{""polyester"":100}",0,Karma,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.243965.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
243962,300,"{""polyester"":100}",0,Londyn,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.243962.1508/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
243954,300,"{""polyester"":100}",0,Caitlyn,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.243954.1867/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
